,F_MASV,F_MAMH,F_NHHK,F_DIEM4,PREDICT_SCORE
138,58253.0,3639.0,20162,2.5,2.1
139,43972.0,758.0,20162,3.0,2.3
140,16063.0,2018.0,20151,3.5,3.5
141,38023.0,4060.0,20151,3.0,2.5
142,35198.0,1194.0,20151,2.5,2.9
143,91887.0,1607.0,20151,3.0,3.0
144,33961.0,1568.0,20151,4.0,2.6
145,30925.0,617.0,20151,2.0,2.4
146,43512.0,1856.0,20151,2.5,3.2
147,44842.0,788.0,20151,1.0,2.4
148,44126.0,3699.0,20151,3.0,2.7
149,43187.0,656.0,20151,3.5,2.4
150,92268.0,2162.0,20132,3.0,3.8
151,9067.0,741.0,20132,3.5,2.3
152,8853.0,778.0,20132,2.5,2.4
153,38910.0,2951.0,20151,2.0,3.5
154,8490.0,3480.0,20132,3.0,3.3
155,36148.0,3703.0,20151,3.5,2.7
156,8905.0,298.0,20151,2.5,2.7
157,23832.0,1552.0,20132,3.0,2.6
158,28189.0,3406.0,20132,2.5,3.3
159,55385.0,4853.0,20151,3.0,3.0
160,23438.0,4019.0,20133,4.0,2.5
161,10548.0,4010.0,20121,4.0,2.5
162,95180.0,1596.0,20121,2.0,3.1
163,19694.0,1583.0,20121,2.0,1.8
164,15358.0,638.0,20121,1.5,2.4
165,6126.0,3654.0,20121,2.0,2.7
166,30438.0,3417.0,20121,4.0,3.3
167,23906.0,1384.0,20121,1.5,2.1
168,19440.0,1681.0,20121,3.0,2.9
169,94773.0,1607.0,20121,3.5,3.0
170,15400.0,3643.0,20121,3.5,2.7
171,15414.0,638.0,20121,4.0,2.4
172,15424.0,638.0,20121,4.0,2.4
173,12720.0,2348.0,20121,1.0,3.4
174,8172.0,3030.0,20121,4.0,3.5
175,41636.0,2673.0,20142,2.0,3.3
176,47543.0,1685.0,20142,3.0,2.9
177,47425.0,4783.0,20142,2.0,3.5
178,45222.0,2067.0,20142,2.5,3.5
179,40760.0,1684.0,20142,2.5,2.9
180,40205.0,1684.0,20142,2.0,2.9
181,41053.0,3157.0,20142,4.0,3.5
182,40698.0,3004.0,20142,3.5,3.5
183,40553.0,1684.0,20142,3.0,2.9
184,43024.0,3648.0,20142,3.0,2.7
185,47960.0,1185.0,20142,2.0,2.9
186,6218.0,2970.0,20142,4.0,3.5
187,28202.0,3412.0,20142,4.0,3.3
188,9114.0,352.0,20142,2.5,2.7
189,10933.0,3662.0,20142,2.5,2.7
190,8336.0,2980.0,20142,4.0,3.5
191,8496.0,341.0,20142,2.5,2.7
192,32864.0,1681.0,20141,3.0,2.9
193,33451.0,3472.0,20141,4.0,3.3
194,15771.0,2278.0,20141,3.0,3.4
195,55407.0,4853.0,20151,2.5,3.0
196,52524.0,3649.0,20151,2.5,2.1
197,23724.0,1607.0,20151,3.5,3.0
198,96687.0,4796.0,20141,1.5,3.9
199,34208.0,1407.0,20141,2.5,2.3
200,16064.0,1994.0,20141,3.0,3.5
201,48178.0,3983.0,20141,2.5,2.5
202,48137.0,2040.0,20141,1.5,3.5
203,22938.0,1537.0,20141,3.0,2.6
204,25678.0,1283.0,20141,3.0,2.6
205,95848.0,1607.0,20141,3.0,3.0
206,96697.0,4800.0,20141,3.0,3.9
207,52657.0,3651.0,20151,1.5,2.1
208,10879.0,4024.0,20142,4.0,2.5
209,10863.0,4160.0,20142,1.0,2.9
210,8788.0,804.0,20142,2.0,2.4
211,30513.0,4798.0,20142,2.0,3.3
212,15877.0,2424.0,20142,2.5,3.3
213,23647.0,1567.0,20142,4.0,2.6
214,16043.0,2005.0,20142,2.0,3.5
215,30450.0,4242.0,20142,2.0,2.9
216,15079.0,42.0,20142,3.5,1.3
217,28548.0,3161.0,20142,3.0,3.5
218,30156.0,4468.0,20142,3.0,3.5
